CartonSize;Steps;CountingSplits;TargetUnits;AvgFillDegree
10;25;4;3;0.93333333333333
11;30;9;3;0.924
12;31;10;3;0.91636363636364
13;31;10;3;0.99272727272727
14;32;11;3;0.98
15;29;8;4;0.96923076923077
16;34;13;4;0.96
17;35;14;4;0.952
18;36;15;4;0.945
19;36;15;4;0.9975
20;33;12;5;0.98823529411765
21;38;17;5;0.98
22;39;18;5;0.97263157894737
23;40;19;5;0.966
24;41;20;6;0.96
25;21;0;6;0.95454545454545
26;31;10;6;0.99272727272727
27;32;11;6;0.945
28;32;11;6;0.98
29;33;12;7;0.93692307692308
30;29;8;7;0.96923076923077
31;34;13;7;0.93
32;34;13;7;0.96
33;34;13;7;0.99
34;35;14;8;0.952
35;33;12;8;0.98
36;36;15;8;0.945
37;36;15;8;0.97125
38;36;15;8;0.9975
39;37;16;9;0.96352941176471
40;33;12;9;0.98823529411765
41;38;17;9;0.95666666666667
42;38;17;9;0.98
43;39;18;10;0.95052631578947
44;39;18;10;0.97263157894737
45;37;16;10;0.99473684210526
46;40;19;10;0.966
47;40;19;10;0.987
48;41;20;11;0.96
49;41;20;11;0.98
50;21;0;11;0.95454545454545
51;31;10;11;0.97363636363636
52;31;10;11;0.99272727272727
53;32;11;12;0.9275
54;32;11;12;0.945
55;31;10;12;0.9625
56;32;11;12;0.98
57;32;11;12;0.9975
58;33;12;13;0.93692307692308
59;33;12;13;0.95307692307692
60;29;8;13;0.96923076923077
61;33;12;13;0.98538461538462
62;34;13;14;0.93
63;34;13;14;0.945
64;34;13;14;0.96
65;33;12;14;0.975
66;34;13;14;0.99
67;35;14;15;0.938
68;35;14;15;0.952
69;35;14;15;0.966
70;33;12;15;0.98
71;35;14;15;0.994
72;36;15;16;0.945
73;36;15;16;0.958125
74;36;15;16;0.97125
75;31;10;16;0.984375
76;36;15;16;0.9975
77;37;16;17;0.95117647058824
78;37;16;17;0.96352941176471
79;37;16;17;0.97588235294118
80;33;12;17;0.98823529411765
81;38;17;18;0.945
82;38;17;18;0.95666666666667
83;38;17;18;0.96833333333333
84;38;17;18;0.98
85;37;16;18;0.99166666666667
86;39;18;19;0.95052631578947
87;39;18;19;0.96157894736842
88;39;18;19;0.97263157894737
89;39;18;19;0.98368421052632
90;37;16;19;0.99473684210526
91;40;19;20;0.9555
92;40;19;20;0.966
93;40;19;20;0.9765
94;40;19;20;0.987
95;39;18;20;0.9975
96;41;20;21;0.96
97;41;20;21;0.97
98;41;20;21;0.98
99;41;20;21;0.99
100;21;0;21;1
101;42;21;22;0.96409090909091
102;42;21;22;0.97363636363636
103;42;21;22;0.98318181818182
104;42;21;22;0.99272727272727
105;42;21;23;0.95869565217391
106;43;22;23;0.96782608695652
107;43;22;23;0.97695652173913
108;43;22;23;0.98608695652174
109;43;22;23;0.99521739130435
110;42;21;24;0.9625
111;44;23;24;0.97125
112;44;23;24;0.98
113;44;23;24;0.98875
114;44;23;24;0.9975
115;44;23;25;0.966
116;45;24;25;0.9744
117;45;24;25;0.9828
118;45;24;25;0.9912
119;45;24;25;0.9996
120;42;21;26;0.96923076923077
121;46;25;26;0.97730769230769
122;46;25;26;0.98538461538462
123;46;25;26;0.99346153846154
124;47;26;27;0.96444444444444
125;42;21;27;0.97222222222222
126;47;26;27;0.98
127;47;26;27;0.98777777777778
128;47;26;27;0.99555555555556
129;48;27;28;0.9675
130;46;25;28;0.975
131;48;27;28;0.9825
132;48;27;28;0.99
133;48;27;28;0.9975
134;49;28;29;0.97034482758621
135;48;27;29;0.97758620689655
136;49;28;29;0.9848275862069
137;49;28;29;0.99206896551724
138;49;28;29;0.99931034482759
139;50;29;30;0.973
140;46;25;30;0.98
141;50;29;30;0.987
142;50;29;30;0.994
143;51;30;31;0.96870967741935
144;51;30;31;0.97548387096774
145;50;29;31;0.98225806451613
146;51;30;31;0.98903225806452
147;51;30;31;0.9958064516129
148;52;31;32;0.97125
149;52;31;32;0.9778125
150;42;21;32;0.984375
151;52;31;32;0.9909375
152;52;31;32;0.9975
153;53;32;33;0.97363636363636
154;53;32;33;0.98
155;52;31;33;0.98636363636364
156;53;32;33;0.99272727272727
157;53;32;33;0.99909090909091
158;54;33;34;0.97588235294118
159;54;33;34;0.98205882352941
160;50;29;34;0.98823529411765
161;54;33;34;0.99441176470588
162;55;34;35;0.972
163;55;34;35;0.978
164;55;34;35;0.984
165;54;33;35;0.99
166;55;34;35;0.996
167;56;35;36;0.97416666666667
168;56;35;36;0.98
169;56;35;36;0.98583333333333
170;54;33;36;0.99166666666667
171;56;35;36;0.9975
172;57;36;37;0.97621621621622
173;57;36;37;0.98189189189189
174;57;36;37;0.98756756756757
175;52;31;37;0.99324324324324
176;57;36;37;0.99891891891892
177;58;37;38;0.97815789473684
178;58;37;38;0.98368421052632
179;58;37;38;0.98921052631579
180;54;33;38;0.99473684210526
181;59;38;39;0.97461538461538
182;59;38;39;0.98
183;59;38;39;0.98538461538462
184;59;38;39;0.99076923076923
185;58;37;39;0.99615384615385
186;60;39;40;0.9765
187;60;39;40;0.98175
188;60;39;40;0.987
189;60;39;40;0.99225
190;58;37;40;0.9975
191;61;40;41;0.97829268292683
192;61;40;41;0.98341463414634
193;61;40;41;0.98853658536585
194;61;40;41;0.99365853658537
195;60;39;41;0.99878048780488
196;62;41;42;0.98
197;62;41;42;0.985
198;62;41;42;0.99
199;62;41;42;0.995
200;42;21;42;1
