CartonSize;intSteps;intCountingSplits;intCountingSplitsQty;intCountTargetUnits;avgFilldegree;timeToEmpty;timePerSplit;timeCounting;timeNewTote;timeNewCompartment;timeTotal
10;25;4;20;3;93;42;0;10;24;18;13
11;30;9;27;3;92;42;0;13,5;24;21;14
12;31;10;35;3;92;42;0;17,5;24;24;15
13;31;10;39;3;99;42;0;19,5;24;24;15
14;32;11;40;3;98;42;0;20;24;27;16
15;29;8;40;4;97;42;0;20;32;27;17
16;34;13;55;4;96;42;0;27,5;32;30;18
17;35;14;63;4;95;42;0;31,5;32;33;19
18;36;15;70;4;95;42;0;35;32;36;20
19;36;15;76;4;100;42;0;38;32;36;21
20;33;12;80;5;99;42;0;40;40;36;22
21;38;17;89;5;98;42;0;44,5;40;39;23
22;39;18;103;5;97;42;0;51,5;40;42;25
23;40;19;120;5;97;42;0;60;40;45;26
24;41;20;138;6;96;42;0;69;48;45;29
25;21;0;0;6;100;42;0;0;48;45;19
26;31;10;78;6;99;42;0;39;48;15;20
27;32;11;83;6;95;42;0;41,5;48;18;21
28;32;11;80;6;98;42;0;40;48;18;21
29;33;12;89;7;94;42;0;44,5;56;18;22
30;29;8;80;7;97;42;0;40;56;18;22
31;34;13;101;7;93;42;0;50,5;56;21;24
32;34;13;110;7;96;42;0;55;56;21;24
33;34;13;112;7;99;42;0;56;56;21;25
34;35;14;126;8;95;42;0;63;64;21;27
35;33;12;120;8;98;42;0;60;64;21;26
36;36;15;140;8;95;42;0;70;64;24;28
37;36;15;144;8;97;42;0;72;64;24;28
38;36;15;152;8;100;42;0;76;64;24;29
39;37;16;165;9;96;42;0;82,5;72;24;31
40;33;12;160;9;99;42;0;80;72;24;31
41;38;17;185;9;96;42;0;92,5;72;27;33
42;38;17;178;9;98;42;0;89;72;27;32
43;39;18;198;10;95;42;0;99;80;27;35
44;39;18;206;10;97;42;0;103;80;27;36
45;37;16;200;10;99;42;0;100;80;27;35
46;40;19;240;10;97;42;0;120;80;30;38
47;40;19;206;10;99;42;0;103;80;30;36
48;41;20;276;11;96;42;0;138;88;30;42
49;41;20;210;11;98;42;0;105;88;30;37
50;21;0;0;11;100;42;0;0;88;30;22
51;31;10;110;11;97;42;0;55;88;0;26
52;31;10;156;11;99;42;0;78;88;0;29
53;32;11;137;12;93;42;0;68,5;96;0;29
54;32;11;166;12;95;42;0;83;96;0;31
55;31;10;150;12;96;42;0;75;96;0;30
56;32;11;160;12;98;42;0;80;96;0;31
57;32;11;171;12;100;42;0;85,5;96;0;31
58;33;12;178;13;94;42;0;89;104;0;33
59;33;12;190;13;95;42;0;95;104;0;34
60;29;8;160;13;97;42;0;80;104;0;32
61;33;12;190;13;99;42;0;95;104;0;34
62;34;13;202;14;93;42;0;101;112;0;36
63;34;13;215;14;95;42;0;107,5;112;0;37
64;34;13;220;14;96;42;0;110;112;0;37
65;33;12;210;14;98;42;0;105;112;0;37
66;34;13;224;14;99;42;0;112;112;0;38
67;35;14;238;15;94;42;0;119;120;0;40
68;35;14;252;15;95;42;0;126;120;0;41
69;35;14;251;15;97;42;0;125,5;120;0;41
70;33;12;240;15;98;42;0;120;120;0;40
71;35;14;261;15;99;42;0;130,5;120;0;41
72;36;15;280;16;95;42;0;140;128;0;44
73;36;15;292;16;96;42;0;146;128;0;45
74;36;15;288;16;97;42;0;144;128;0;44
75;31;10;250;16;98;42;0;125;128;0;42
76;36;15;304;16;100;42;0;152;128;0;46
77;37;16;324;17;95;42;0;162;136;0;48
78;37;16;330;17;96;42;0;165;136;0;49
79;37;16;316;17;98;42;0;158;136;0;48
80;33;12;320;17;99;42;0;160;136;0;48
81;38;17;345;18;95;42;0;172,5;144;0;51
82;38;17;370;18;96;42;0;185;144;0;53
83;38;17;369;18;97;42;0;184,5;144;0;52
84;38;17;356;18;98;42;0;178;144;0;52
85;37;16;360;18;99;42;0;180;144;0;52
86;39;18;396;19;95;42;0;198;152;0;56
87;39;18;422;19;96;42;0;211;152;0;57
88;39;18;412;19;97;42;0;206;152;0;57
89;39;18;389;19;98;42;0;194,5;152;0;55
90;37;16;400;19;99;42;0;200;152;0;56
91;40;19;458;20;96;42;0;229;160;0;61
92;40;19;480;20;97;42;0;240;160;0;63
93;40;19;443;20;98;42;0;221,5;160;0;60
94;40;19;412;20;99;42;0;206;160;0;58
95;39;18;450;20;100;42;0;225;160;0;61
96;41;20;552;21;96;42;0;276;168;0;69
97;41;20;574;21;97;42;0;287;168;0;71
98;41;20;420;21;98;42;0;210;168;0;60
99;41;20;210;21;99;42;0;105;168;0;45
100;21;0;0;21;100;42;0;0;168;0;30
