CartonSize;intSteps;intCountingSplits;intCountingSplitsQty;intCountTargetUnits;avgFilldegree;timeToEmpty;timePerSplit;timeCounting;timeNewTote;timeNewCompartment;timeTotal;maxNeededPutIntoSplit;maxNeededRemainingSplit;maxNeeded;minNeededPutIntoSplit;minNeededRemainingSplit;minNeeded
10;25;4;20;3;93;42;0;10;24;18;13;5;5;5;5;5;5
11;29;8;19;3;92;42;0;9,5;24;21;13;4;10;10;1;1;1
12;29;8;12;3;92;42;0;6;24;24;13;5;11;11;1;4;1
13;30;9;16;3;91;42;0;8;24;27;14;12;8;12;5;1;1
14;31;10;28;3;98;42;0;14;24;27;15;13;12;13;2;1;1
15;29;8;40;4;97;42;0;20;32;27;17;10;10;10;5;5;5
16;33;12;53;4;96;42;0;26,5;32;30;18;13;14;14;1;3;1
17;33;12;60;4;95;42;0;30;32;33;19;8;9;9;3;1;1
18;33;12;58;4;95;42;0;29;32;36;19;17;16;17;2;1;1
19;36;15;69;4;100;42;0;34,5;32;36;20;16;14;16;3;1;1
20;33;12;60;5;99;42;0;30;40;36;21;5;15;15;5;5;5
21;37;16;60;5;98;42;0;30;40;39;21;20;20;20;1;1;1
22;37;16;50;5;97;42;0;25;40;42;21;17;20;20;1;1;1
23;21;0;0;6;92;42;0;0;48;45;19;0;0;0;100;100;100
24;21;0;0;6;96;42;0;0;48;45;19;0;0;0;100;100;100
25;21;0;0;6;100;42;0;0;48;45;19;0;0;0;100;100;100
26;31;10;50;6;99;42;0;25;48;15;18;24;20;24;6;2;2
27;31;10;63;6;95;42;0;31,5;48;18;19;23;16;23;3;4;3
28;32;11;74;6;98;42;0;37;48;18;20;22;20;22;2;4;2
29;33;12;96;7;94;42;0;48;56;18;23;21;19;21;2;3;2
30;29;8;80;7;97;42;0;40;56;18;22;20;20;20;10;10;10
31;28;7;84;7;93;42;0;42;56;21;23;19;12;19;19;12;12
32;28;7;98;7;96;42;0;49;56;21;24;18;14;18;18;14;14
33;28;7;112;7;99;42;0;56;56;21;25;17;16;17;17;16;16
34;35;14;150;8;95;42;0;75;64;21;28;16;18;18;4;2;2
35;33;12;125;8;98;42;0;62,5;64;21;27;30;20;30;5;5;5
36;21;0;0;11;72;42;0;0;88;30;22;0;0;0;100;100;100
37;21;0;0;11;74;42;0;0;88;30;22;0;0;0;100;100;100
38;21;0;0;11;76;42;0;0;88;30;22;0;0;0;100;100;100
39;21;0;0;11;78;42;0;0;88;30;22;0;0;0;100;100;100
40;21;0;0;11;80;42;0;0;88;30;22;0;0;0;100;100;100
41;21;0;0;11;82;42;0;0;88;30;22;0;0;0;100;100;100
42;21;0;0;11;84;42;0;0;88;30;22;0;0;0;100;100;100
43;21;0;0;11;86;42;0;0;88;30;22;0;0;0;100;100;100
44;21;0;0;11;88;42;0;0;88;30;22;0;0;0;100;100;100
45;21;0;0;11;90;42;0;0;88;30;22;0;0;0;100;100;100
46;21;0;0;11;92;42;0;0;88;30;22;0;0;0;100;100;100
47;21;0;0;11;94;42;0;0;88;30;22;0;0;0;100;100;100
48;21;0;0;11;96;42;0;0;88;30;22;0;0;0;100;100;100
49;21;0;0;11;98;42;0;0;88;30;22;0;0;0;100;100;100
50;21;0;0;11;100;42;0;0;88;30;22;0;0;0;100;100;100
51;31;10;110;11;97;42;0;55;88;0;26;49;20;49;31;2;2
52;31;10;80;11;99;42;0;40;88;0;24;48;20;48;32;4;4
53;32;11;87;12;93;42;0;43,5;96;0;25;47;18;47;5;1;1
54;31;10;94;12;95;42;0;47;96;0;26;46;18;46;6;2;2
55;31;10;110;12;96;42;0;55;96;0;27;45;20;45;5;5;5
56;32;11;128;12;98;42;0;64;96;0;28;44;20;44;4;4;4
57;32;11;129;12;100;42;0;64,5;96;0;28;43;14;43;1;12;1
58;33;12;158;13;94;42;0;79;104;0;32;42;18;42;4;2;2
59;32;11;160;13;95;42;0;80;104;0;32;41;18;41;5;3;3
60;29;8;160;13;97;42;0;80;104;0;32;40;20;40;40;20;20
61;21;0;0;21;61;42;0;0;168;0;30;0;0;0;100;100;100
62;21;0;0;21;62;42;0;0;168;0;30;0;0;0;100;100;100
63;21;0;0;21;63;42;0;0;168;0;30;0;0;0;100;100;100
64;21;0;0;21;64;42;0;0;168;0;30;0;0;0;100;100;100
65;21;0;0;21;65;42;0;0;168;0;30;0;0;0;100;100;100
66;21;0;0;21;66;42;0;0;168;0;30;0;0;0;100;100;100
