CartonSize;intSteps;intCountingSplits;intCountingSplitsQty;intCountTargetUnits;avgFilldegree;timeToEmpty;timePerSplit;timeCounting;timeNewTote;timeNewCompartment;timeTotal;maxNeededPutIntoSplit;maxNeededRemainingSplit;maxNeeded;minNeededPutIntoSplit;minNeededRemainingSplit;minNeeded
1;25;0;0;1;100;50;0;0;20;9;11;0;0;0;100;100;100
2;25;0;0;1;67;50;0;0;20;9;11;0;0;0;100;100;100
3;25;0;0;1;75;50;0;0;20;9;11;0;0;0;100;100;100
4;25;0;0;2;80;50;0;0;40;18;15;0;0;0;100;100;100
5;25;0;0;2;100;50;0;0;40;18;15;0;0;0;100;100;100
6;25;0;0;2;86;50;0;0;40;18;15;0;0;0;100;100;100
7;25;0;0;3;78;50;0;0;60;27;19;0;0;0;100;100;100
8;25;0;0;3;89;50;0;0;60;27;19;0;0;0;100;100;100
9;25;0;0;4;69;50;0;0;80;36;23;0;0;0;100;100;100
10;25;0;0;4;77;50;0;0;80;36;23;0;0;0;100;100;100
11;25;0;0;4;85;50;0;0;80;36;23;0;0;0;100;100;100
12;25;0;0;4;92;50;0;0;80;36;23;0;0;0;100;100;100
13;30;5;5;5;65;50;0;7,5;100;45;28;12;1;12;12;1;1
14;30;5;15;5;70;50;0;22,5;100;45;30;11;3;11;11;3;3
15;28;3;15;6;68;50;0;22,5;120;54;34;10;5;10;10;5;5
16;27;2;14;6;70;50;0;21;120;54;34;9;7;9;9;7;7
17;27;2;9;6;71;50;0;13,5;120;54;33;16;9;16;8;1;1
18;25;0;0;7;72;50;0;0;140;63;35;0;0;0;100;100;100
19;25;0;0;7;76;50;0;0;140;63;35;0;0;0;100;100;100
20;25;0;0;7;80;50;0;0;140;63;35;0;0;0;100;100;100
21;25;0;0;7;84;50;0;0;140;63;35;0;0;0;100;100;100
22;25;0;0;7;88;50;0;0;140;63;35;0;0;0;100;100;100
23;25;0;0;7;92;50;0;0;140;63;35;0;0;0;100;100;100
24;25;0;0;7;96;50;0;0;140;63;35;0;0;0;100;100;100
25;25;0;0;7;100;50;0;0;140;63;35;0;0;0;100;100;100
26;31;6;12;10;68;50;0;18;200;30;41;24;2;24;24;2;2
27;30;5;20;10;68;50;0;30;200;30;43;23;4;23;23;4;4
28;30;5;30;10;70;50;0;45;200;30;45;22;6;22;22;6;6
29;29;4;32;11;69;50;0;48;220;33;49;21;8;21;21;8;8
30;28;3;30;11;68;50;0;45;220;33;48;20;10;20;20;10;10
31;28;3;36;11;70;50;0;54;220;33;49;19;12;19;19;12;12
32;27;2;28;12;70;50;0;42;240;36;51;18;14;18;18;14;14
33;26;1;16;12;69;50;0;24;240;36;49;17;16;17;17;16;16
34;27;2;18;12;71;50;0;27;240;36;49;32;18;32;16;2;2
35;25;0;0;13;70;50;0;0;260;39;48;0;0;0;100;100;100
36;25;0;0;13;72;50;0;0;260;39;48;0;0;0;100;100;100
37;25;0;0;13;74;50;0;0;260;39;48;0;0;0;100;100;100
38;25;0;0;13;76;50;0;0;260;39;48;0;0;0;100;100;100
39;25;0;0;13;78;50;0;0;260;39;48;0;0;0;100;100;100
40;25;0;0;13;80;50;0;0;260;39;48;0;0;0;100;100;100
41;25;0;0;13;82;50;0;0;260;39;48;0;0;0;100;100;100
42;25;0;0;13;84;50;0;0;260;39;48;0;0;0;100;100;100
43;25;0;0;13;86;50;0;0;260;39;48;0;0;0;100;100;100
44;25;0;0;13;88;50;0;0;260;39;48;0;0;0;100;100;100
45;25;0;0;13;90;50;0;0;260;39;48;0;0;0;100;100;100
46;25;0;0;13;92;50;0;0;260;39;48;0;0;0;100;100;100
47;25;0;0;13;94;50;0;0;260;39;48;0;0;0;100;100;100
48;25;0;0;13;96;50;0;0;260;39;48;0;0;0;100;100;100
49;25;0;0;13;98;50;0;0;260;39;48;0;0;0;100;100;100
50;25;0;0;13;100;50;0;0;260;39;48;0;0;0;100;100;100
51;32;7;14;18;71;50;0;21;360;0;60;49;2;49;49;2;2
52;31;6;24;19;68;50;0;36;380;0;65;48;4;48;48;4;4
53;31;6;36;19;70;50;0;54;380;0;67;47;6;47;47;6;6
54;30;5;40;20;68;50;0;60;400;0;71;46;8;46;46;8;8
55;30;5;50;20;69;50;0;75;400;0;73;45;10;45;45;10;10
56;30;5;60;20;70;50;0;90;400;0;75;44;12;44;44;12;12
57;29;4;56;21;68;50;0;84;420;0;77;43;14;43;43;14;14
58;29;4;64;21;69;50;0;96;420;0;79;42;16;42;42;16;16
59;29;4;72;21;70;50;0;108;420;0;80;41;18;41;41;18;18
60;28;3;60;22;68;50;0;90;440;0;81;40;20;40;40;20;20
61;28;3;66;22;69;50;0;99;440;0;82;39;22;39;39;22;22
62;28;3;72;22;70;50;0;108;440;0;83;38;24;38;38;24;24
63;27;2;52;23;68;50;0;78;460;0;82;37;26;37;37;26;26
64;27;2;56;23;70;50;0;84;460;0;83;36;28;36;36;28;28
65;27;2;60;23;71;50;0;90;460;0;84;35;30;35;35;30;30
66;26;1;32;24;69;50;0;48;480;0;80;34;32;34;34;32;32
67;27;2;34;24;70;50;0;51;480;0;81;66;34;66;33;1;1
68;27;2;36;24;71;50;0;54;480;0;81;64;36;64;32;4;4
69;25;0;0;25;69;50;0;0;500;0;77;0;0;0;100;100;100
70;25;0;0;25;70;50;0;0;500;0;77;0;0;0;100;100;100
71;25;0;0;25;71;50;0;0;500;0;77;0;0;0;100;100;100
72;25;0;0;25;72;50;0;0;500;0;77;0;0;0;100;100;100
73;25;0;0;25;73;50;0;0;500;0;77;0;0;0;100;100;100
74;25;0;0;25;74;50;0;0;500;0;77;0;0;0;100;100;100
75;25;0;0;25;75;50;0;0;500;0;77;0;0;0;100;100;100
76;25;0;0;25;76;50;0;0;500;0;77;0;0;0;100;100;100
77;25;0;0;25;77;50;0;0;500;0;77;0;0;0;100;100;100
78;25;0;0;25;78;50;0;0;500;0;77;0;0;0;100;100;100
79;25;0;0;25;79;50;0;0;500;0;77;0;0;0;100;100;100
80;25;0;0;25;80;50;0;0;500;0;77;0;0;0;100;100;100
81;25;0;0;25;81;50;0;0;500;0;77;0;0;0;100;100;100
82;25;0;0;25;82;50;0;0;500;0;77;0;0;0;100;100;100
83;25;0;0;25;83;50;0;0;500;0;77;0;0;0;100;100;100
84;25;0;0;25;84;50;0;0;500;0;77;0;0;0;100;100;100
85;25;0;0;25;85;50;0;0;500;0;77;0;0;0;100;100;100
86;25;0;0;25;86;50;0;0;500;0;77;0;0;0;100;100;100
87;25;0;0;25;87;50;0;0;500;0;77;0;0;0;100;100;100
88;25;0;0;25;88;50;0;0;500;0;77;0;0;0;100;100;100
89;25;0;0;25;89;50;0;0;500;0;77;0;0;0;100;100;100
90;25;0;0;25;90;50;0;0;500;0;77;0;0;0;100;100;100
91;25;0;0;25;91;50;0;0;500;0;77;0;0;0;100;100;100
92;25;0;0;25;92;50;0;0;500;0;77;0;0;0;100;100;100
93;25;0;0;25;93;50;0;0;500;0;77;0;0;0;100;100;100
94;25;0;0;25;94;50;0;0;500;0;77;0;0;0;100;100;100
95;25;0;0;25;95;50;0;0;500;0;77;0;0;0;100;100;100
96;25;0;0;25;96;50;0;0;500;0;77;0;0;0;100;100;100
97;25;0;0;25;97;50;0;0;500;0;77;0;0;0;100;100;100
98;25;0;0;25;98;50;0;0;500;0;77;0;0;0;100;100;100
